seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,RHOTA___5,RHOTA___10,RHOTA___15,RHOTA___20,RHOTA___25,RHOTA___30,RHOTA___35,RHOTA___40,RHOTA___45,RHOTA___50,RHOTA___55,RHOTA___60,RHOTA___65,RHOTA___70,RHOTA___75,RHOTA___80,RHOTA___85,RHOTA___90,RHOTA___95,RHOTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
airport-1_frames_fusedRetina_400,0.8606376649373971,0.7886064122474791,0.6787043811913288,0.8606376649373971,0.8606376649373971,0.8606376649373971,0.8606376649373971,0.8606376649373971,0.8606376649373971,0.8606376649373971,0.8594225451772718,0.8551828669862606,0.8486246692196161,0.8365455796902838,0.8188117780382622,0.7847453651081286,0.7202910005219314,0.5708845991656458,0.3581798688005737,0.16307426118423168,0.04624771090806383,0.00662120479694986,0.6785839528504737,0.846612296110414,0.846612296110414,0.846612296110414,0.846612296110414,0.846612296110414,0.846612296110414,0.846612296110414,0.8454545454545455,0.84141382546137,0.8345278903085073,0.8186592523941921,0.7964601769911505,0.7552176505664878,0.6791215059897319,0.5137567498071484,0.2887478108581436,0.11117402793506984,0.027220380387366953,0.0023837902264600714,0.6547591410080564,0.8748953844774949,0.8748953844774949,0.8748953844774949,0.8748953844774949,0.8748953844774949,0.8748953844774949,0.8748953844774949,0.873621314274062,0.8691772274906796,0.8629595698016438,0.8548226931446059,0.8417906471946932,0.8154275626327858,0.7639562594572427,0.6343648539641734,0.4443075015277745,0.23920348263638103,0.07857534442202328,0.018391028068042197,0.7063613250503459,0.8541139240506329,0.8541139240506329,0.8541139240506329,0.8541139240506329,0.8541139240506329,0.8541139240506329,0.8541139240506329,0.8534810126582278,0.8512658227848101,0.8474683544303797,0.8386075949367089,0.8259493670886076,0.8015822784810127,0.7534810126582279,0.6322784810126583,0.41740506329113924,0.18639240506329113,0.049367088607594936,0.004430379746835443,0.686342438374417,0.9897323065639897,0.9897323065639897,0.9897323065639897,0.9897323065639897,0.9897323065639897,0.9897323065639897,0.9897323065639897,0.988998899889989,0.9864319765309865,0.982031536486982,0.9717638430509717,0.9570957095709571,0.9288595526219289,0.8731206453978732,0.7326732673267327,0.48368170150348366,0.21598826549321598,0.05720572057205721,0.005133846718005134,0.7953216374269005,0.8853693873828657,0.8853693873828657,0.8853693873828657,0.8853693873828657,0.8853693873828657,0.8853693873828657,0.8853693873828657,0.8846410105279999,0.8821805309489728,0.8790566867268709,0.8749559007033948,0.8682638320196455,0.8514877085764466,0.8176064107975933,0.7229972812110579,0.5601118903408808,0.35190030616641604,0.13549347600877032,0.0342511433590423,0.7400279941614291,0.9842590394197581,0.9842590394197581,0.9842590394197581,0.9842590394197581,0.9842590394197581,0.9842590394197581,0.9842590394197581,0.9835645868497301,0.9810518489363146,0.9779969975228237,0.9710100473269264,0.9599026060696413,0.9395836468037926,0.9021636830890379,0.800962011301839,0.6244743097447606,0.3932787940267924,0.1515210827687847,0.03782928194541424,0.8217448511749561,0.7886064122474791,0.7886064122474791,0.7886064122474791,0.7886064122474791,0.7886064122474791,0.7886064122474791,0.7886064122474791,0.7889040406310471,0.7898295553590006,0.7912421884726669,0.7940470867461821,0.7973542238868174,0.8025224742490059,0.8102532637551323,0.8260429918351202,0.8520313127061317,0.8859581587772066,0.9214603564477472,0.9607257077571291,0.817927170860818,0.8644422074204038,0.8644422074204038,0.8644422074204038,0.8644422074204038,0.8644422074204038,0.8644422074204038,0.8644422074204038,0.8634924458189767,0.8601749052987266,0.8551788857073983,0.8466763270549841,0.8338323885959134,0.8084752832285024,0.7587005575340215,0.6333208083367263,0.4306462594704947,0.211153291303049,0.062281907408607146,0.009026585083858476,0.6960028998307413,2699.0,2699.0,2699.0,2699.0,2699.0,2699.0,2699.0,2697.0,2690.0,2678.0,2650.0,2610.0,2533.0,2381.0,1998.0,1319.0,589.0,156.0,14.0,2168.842105263158,461.0,461.0,461.0,461.0,461.0,461.0,461.0,463.0,470.0,482.0,510.0,550.0,627.0,779.0,1162.0,1841.0,2571.0,3004.0,3146.0,991.1578947368421,28.0,28.0,28.0,28.0,28.0,28.0,28.0,30.0,37.0,49.0,77.0,117.0,194.0,346.0,729.0,1408.0,2138.0,2571.0,2713.0,558.1578947368421,0.830379746835443,0.7912421884726669,0.8319620253164557,0.8474683544303797,0.982031536486982,0.7692307692307693,0.11538461538461539,0.11538461538461539,0.6534641078258867,0.9098012570069645,0.09227871939736347,0.8317408322771089,2118.946580729802,2678,482,49,5,20,3,3,3.0,531,0.907423135722779,0.845253164556962,0.9794646131279795,2671,489,56,2727,3160,25,26
airport-2_frames_fusedRetina_400,0.7465044569918348,0.67922642327274,0.5070455522797229,0.7465044569918348,0.7465044569918348,0.7465044569918348,0.7465044569918348,0.7453686759842041,0.7448481853796293,0.7445679920064371,0.7440615069799553,0.7426468287448481,0.7227703695752323,0.6775027350267003,0.5639716840155596,0.3978946916108235,0.27794693163590145,0.18887602071311343,0.09824234143429589,0.02799330864436408,0.009468405327284268,0.0011061987511286424,0.5091201949366746,0.7002030644268045,0.7002030644268045,0.7002030644268045,0.7002030644268045,0.6967575534266764,0.6945722171113156,0.6933259790402647,0.6917707567964732,0.6880498533724341,0.6678739587106121,0.6160729952623267,0.5049019607843137,0.3361381111272305,0.1956380630923017,0.10843663497412444,0.053293687099725526,0.014652418199845764,0.0037053182214472537,0.00021720243266724586,0.46137994565047247,0.79586755988402,0.79586755988402,0.79586755988402,0.79586755988402,0.7973712813102808,0.798763333164551,0.7995971757583632,0.8003048997518778,0.8015760915310384,0.7821790329188013,0.7450577439662174,0.6299521195704334,0.4709974274596524,0.3948847968780182,0.3289861513033225,0.18110133067791587,0.05348095571465996,0.024195141708160388,0.005633802816901409,0.5682921854771724,0.9161835748792271,0.9161835748792271,0.9161835748792271,0.9161835748792271,0.9135265700483092,0.9118357487922706,0.9108695652173913,0.9096618357487922,0.9067632850241546,0.8908212560386474,0.8480676328502416,0.7463768115942029,0.5596618357487922,0.3640096618357488,0.21763285024154588,0.11256038647342995,0.0321256038647343,0.00821256038647343,0.0004830917874396135,0.631439105008899,0.7481262327416174,0.7481262327416174,0.7481262327416174,0.7481262327416174,0.745956607495069,0.7445759368836292,0.7437869822485207,0.7428007889546351,0.7404339250493097,0.7274161735700198,0.6925049309664695,0.6094674556213018,0.4570019723865878,0.2972386587771203,0.1777120315581854,0.09191321499013806,0.026232741617357003,0.0067061143984220905,0.0003944773175542406,0.5156129969895152,0.814655575826147,0.814655575826147,0.814655575826147,0.814655575826147,0.8163092814798656,0.8177325359593395,0.8185852958983594,0.8193499954892142,0.8208001773260339,0.8100118000568993,0.7914148029409217,0.7142959654905371,0.581897416465028,0.49027688905486966,0.43108473860612584,0.2723237506366408,0.09659307077864358,0.044820024369379895,0.009615384615384616,0.6101964964458858,0.969563459119338,0.969563459119338,0.969563459119338,0.969563459119338,0.9694686991754334,0.9703325806824799,0.9712204080464141,0.970496205908014,0.9684033423939842,0.9541227826328124,0.9164698933036212,0.8271807423379368,0.6754246651675322,0.570854195763422,0.5027257850255227,0.32329193203294015,0.10706160097769236,0.05009801418934228,0.013422818791946308,0.7194119738371814,0.67922642327274,0.67922642327274,0.67922642327274,0.67922642327274,0.6805477584743436,0.6813234984456321,0.6817191701280908,0.6821176274044796,0.6829555683550086,0.686548104502057,0.6946013143615097,0.710462466495113,0.7392037599374501,0.7734515422011177,0.8087568609565975,0.8401122687426157,0.8830834711455369,0.9210094205419739,0.9631413732408025,0.7445231525275414,0.8539091205420802,0.8539091205420802,0.8539091205420802,0.8539091205420802,0.8534751617184921,0.8534289437345726,0.8534217783910101,0.8532331593808613,0.8525489839026886,0.8347345138137161,0.7948958153507737,0.6856979323740083,0.5134192096961582,0.3791330655266641,0.26757838813726814,0.14277547328571052,0.04145006631594893,0.014096242844728133,0.0016497405471464993,0.5977460503783194,3793.0,3793.0,3793.0,3793.0,3782.0,3775.0,3771.0,3766.0,3754.0,3688.0,3511.0,3090.0,2317.0,1507.0,901.0,466.0,133.0,34.0,2.0,2614.157894736842,347.0,347.0,347.0,347.0,358.0,365.0,369.0,374.0,386.0,452.0,629.0,1050.0,1823.0,2633.0,3239.0,3674.0,4007.0,4106.0,4138.0,1525.842105263158,1277.0,1277.0,1277.0,1277.0,1288.0,1295.0,1299.0,1304.0,1316.0,1382.0,1559.0,1980.0,2753.0,3563.0,4169.0,4604.0,4937.0,5036.0,5068.0,2455.842105263158,0.556280193236715,0.6866081510021129,0.5584541062801932,0.8915458937198067,0.7280078895463511,0.8571428571428571,0.14285714285714285,0.0,0.27687697713739107,0.8015200868621064,2.544280442804428,0.5582236129204253,2534.270685348799,3691,449,1379,9,12,2,0,30.0,542,0.7381107491856678,0.8210144927536231,0.670414201183432,3399,741,1671,5070,4140,102,14
airport-3_frames_fusedRetina_400,0.7981795986722976,0.6997167428378622,0.5584996289826122,0.7981795986722976,0.7981795986722976,0.7981795986722976,0.7981795986722976,0.7971208136077486,0.7923485619620858,0.7876117368381588,0.7780573594834183,0.7704249558074258,0.7446752391089361,0.6946189206050397,0.6030454508352601,0.48781583891040053,0.36462089502381767,0.250880904342566,0.15273444092267677,0.0683508230549723,0.017261055502000584,0.0017555074921522102,0.5528442577992552,0.8582848837209303,0.8582848837209303,0.8582848837209303,0.8582848837209303,0.8555878084179971,0.8475433526011561,0.839568345323741,0.8199288256227758,0.8057909604519774,0.772002772002772,0.7115127175368139,0.6061557788944724,0.4720782959124928,0.31804123711340204,0.19430172816440916,0.11125597566275533,0.04752150757886112,0.010671936758893281,0.0007827788649706458,0.5708359766205899,0.7422834583485673,0.7422834583485673,0.7422834583485673,0.7422834583485673,0.7426491883533874,0.7407482363192202,0.7388704582067329,0.7383241517170698,0.7366111580575965,0.7183150525526351,0.6781262414154192,0.599951082601843,0.5040780200070208,0.4180225127239247,0.3239355036023447,0.20967691222874232,0.09830990745694047,0.02791845976737615,0.003937007874015748,0.5394004066462389,0.8974164133738601,0.8974164133738601,0.8974164133738601,0.8974164133738601,0.8958966565349544,0.8913373860182371,0.8867781155015197,0.8753799392097265,0.8670212765957447,0.8465045592705167,0.8077507598784195,0.7332826747720365,0.6231003039513677,0.4688449848024316,0.3161094224924012,0.1945288753799392,0.08814589665653495,0.020516717325227963,0.001519756838905775,0.6371780515117581,0.951651893634166,0.951651893634166,0.951651893634166,0.951651893634166,0.9500402900886382,0.9452054794520548,0.9403706688154714,0.9282836422240129,0.91941982272361,0.8976631748589847,0.8565672844480258,0.7775987107171636,0.660757453666398,0.49717969379532634,0.33521353746978244,0.2062852538275584,0.09347300564061241,0.021756647864625302,0.0016116035455278,0.6756859917723398,0.7559209094721372,0.7559209094721372,0.7559209094721372,0.7559209094721372,0.7564001138110368,0.7550775555092796,0.75406345666248,0.753332145702658,0.7529695997430904,0.7421465553228532,0.7173890351922313,0.6623347015432963,0.5813624619807924,0.5028677856404662,0.41297050856945944,0.2962456985454733,0.15316312304693114,0.04521018603144208,0.007692307692307693,0.5745741512043341,0.9779193188404409,0.9779193188404409,0.9779193188404409,0.9779193188404409,0.9762533634864806,0.9724473828360526,0.9679867660692625,0.9618743120808999,0.9557323375314449,0.9368745440569659,0.9017288987900454,0.8340824459077026,0.7509276512784652,0.6765459751733436,0.606824791574897,0.45314463110746805,0.23263955741199654,0.07489037006169326,0.008,0.748506858038341,0.6997167428378622,0.6997167428378622,0.6997167428378622,0.6997167428378622,0.7005374355842022,0.7027021963442162,0.7046159301621926,0.7088722875794548,0.7115609624323244,0.7172003659052604,0.7260763556485682,0.7412953996132691,0.7615258554612211,0.7903350289874621,0.8223238465277748,0.8523093268039716,0.883242240934836,0.9236018868093576,0.9562928486526197,0.7632294178314831,0.8161723830772004,0.8161723830772004,0.8161723830772004,0.8161723830772004,0.8156818772194203,0.8125617494433227,0.8094529958733312,0.8039366586038738,0.7991605261859267,0.7797800760332662,0.7401060645588586,0.6632750067525977,0.5604383708148277,0.4427050469840193,0.319998539009981,0.2019609217868533,0.0930892847916074,0.023933139100481702,0.002446077398890174,0.5859587298350558,1181.0,1181.0,1181.0,1181.0,1179.0,1173.0,1167.0,1152.0,1141.0,1114.0,1063.0,965.0,820.0,617.0,416.0,256.0,116.0,27.0,2.0,838.5263157894736,135.0,135.0,135.0,135.0,137.0,143.0,149.0,164.0,175.0,202.0,253.0,351.0,496.0,699.0,900.0,1060.0,1200.0,1289.0,1314.0,477.4736842105263,60.0,60.0,60.0,60.0,62.0,68.0,74.0,89.0,100.0,127.0,178.0,276.0,421.0,624.0,825.0,985.0,1125.0,1214.0,1239.0,402.4736842105263,0.7477203647416414,0.7172003659052604,0.75,0.8465045592705167,0.8976631748589847,0.6666666666666666,0.3333333333333333,0.0,0.5083291851204104,0.8713335940555338,0.29398148148148145,0.7496374458550762,798.9612076184601,1114,202,127,3,6,3,0,9.0,432,0.7688697692608526,0.7469604863221885,0.7921031426269137,983,333,258,1241,1316,18,9
airport-4_frames_fusedRetina_400,0.9699826755942444,0.6519015354097374,0.6323331955407332,0.9699826755942444,0.9699826755942444,0.9699826755942444,0.9699826755942444,0.9699826755942444,0.9699826755942444,0.9699826755942444,0.9699826755942444,0.9639158438673316,0.913698940934864,0.8463735483770879,0.6721617097917312,0.3966283673393247,0.17144102315223236,0.021085292709495763,0.0008577329353082058,0.0,0.0,0.0,0.6182117823084912,0.9477911646586346,0.9477911646586346,0.9477911646586346,0.9477911646586346,0.9477911646586346,0.9477911646586346,0.9477911646586346,0.9477911646586346,0.9419419419419419,0.8908382066276803,0.8181818181818182,0.6524701873935264,0.36812411847672777,0.1405055849500294,0.013054830287206266,0.0005157297576070139,0.0,0.0,0.0,0.6004190386781902,0.9926937768952937,0.9926937768952937,0.9926937768952937,0.9926937768952937,0.9926937768952937,0.9926937768952937,0.9926937768952937,0.9926937768952937,0.9864023595158464,0.9371463285413512,0.8755366685907389,0.6924475214951807,0.42733973103749096,0.20918758802319137,0.034055560958215825,0.0014265335235378032,0.0,0.0,0.0,0.6371101319393633,0.9978858350951374,0.9978858350951374,0.9978858350951374,0.9978858350951374,0.9978858350951374,0.9978858350951374,0.9978858350951374,0.9978858350951374,0.9947145877378436,0.9661733615221987,0.9228329809725159,0.8097251585623678,0.5517970401691332,0.2526427061310782,0.026427061310782242,0.0010570824524312897,0.0,0.0,0.0,0.6583398241904973,0.9496981891348089,0.9496981891348089,0.9496981891348089,0.9496981891348089,0.9496981891348089,0.9496981891348089,0.9496981891348089,0.9496981891348089,0.9466800804828974,0.9195171026156942,0.8782696177062375,0.7706237424547284,0.5251509054325956,0.24044265593561368,0.025150905432595575,0.001006036217303823,0.0,0.0,0.0,0.6265487662819019,0.9978944339820046,0.9978944339820046,0.9978944339820046,0.9978944339820046,0.9978944339820046,0.9978944339820046,0.9978944339820046,0.9978944339820046,0.9947268721622246,0.9678079302441082,0.9300338094725266,0.8161029993230463,0.5883236063260853,0.34440684570633573,0.06578862711704041,0.002849002849002849,0.0,0.0,0.0,0.6680629034240214,0.9947993429132892,0.9947993429132892,0.9947993429132892,0.9947993429132892,0.9947993429132892,0.9947993429132892,0.9947993429132892,0.9947993429132892,0.9916219136405804,0.964611249753006,0.9265890828095122,0.8128301160711195,0.5837144428057305,0.34133886548840164,0.06578595317725754,0.002849002849002849,0.0,0.0,0.0,0.6656702826263645,0.6519015354097374,0.6519015354097374,0.6519015354097374,0.6519015354097374,0.6519015354097374,0.6519015354097374,0.6519015354097374,0.6519015354097374,0.6525562055995665,0.6578077017913573,0.6638266982580144,0.675611469717315,0.6981669345818176,0.7252502285965433,0.7664866448091207,0.804000468585287,1.0,1.0,1.0,0.7294167702745747,0.9952864203589368,0.9952864203589368,0.9952864203589368,0.9952864203589368,0.9952864203589368,0.9952864203589368,0.9952864203589368,0.9952864203589368,0.9905497546259053,0.9515491676655411,0.8988738030593267,0.7487938161729194,0.4855973627741001,0.22989066602890207,0.029999806622974284,0.0012279916756789476,0.0,0.0,0.0,0.6473038806050969,944.0,944.0,944.0,944.0,944.0,944.0,944.0,944.0,941.0,914.0,873.0,766.0,522.0,239.0,25.0,1.0,0.0,0.0,0.0,622.7894736842105,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,32.0,73.0,180.0,424.0,707.0,921.0,945.0,946.0,946.0,946.0,323.2105263157895,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,53.0,80.0,121.0,228.0,472.0,755.0,969.0,993.0,994.0,994.0,994.0,371.2105263157895,0.8816067653276956,0.6578077017913573,0.8816067653276956,0.9661733615221987,0.9195171026156942,1.0,0.0,0.0,0.5509896822804445,0.9422680412371134,0.19184652278177458,0.8816067653276956,601.2362394373006,914,32,80,0,3,0,0,1.0,417,0.9422680412371134,0.9661733615221987,0.9195171026156942,914,32,80,994,946,4,3
COMBINED,0.8095386509990666,0.7133010389750211,0.5774447608480712,0.8095386509990666,0.8095386509990666,0.8095386509990666,0.8095386509990666,0.8088279496564202,0.8079556949361654,0.8072128051027626,0.8053827344255233,0.8018253334148833,0.7821922440306893,0.7441382998873365,0.6571780771937186,0.532007484212146,0.42813407435794554,0.32335432596806524,0.20311407823174168,0.09219017257253098,0.0267198213862317,0.0037590377017144914,0.5822182493196916,0.7850050104764508,0.7850050104764508,0.7850050104764508,0.7850050104764508,0.7828935395814377,0.7807870580750704,0.779170071733406,0.7756230176710467,0.7703288760390314,0.7494642857142857,0.7042706793076454,0.61095124558086,0.4620205939412028,0.31946127946127945,0.20548787990648457,0.11634001823154057,0.04467903604179996,0.011198843990297776,0.0009194932570494483,0.5396639979178022,0.83483903760516,0.83483903760516,0.83483903760516,0.83483903760516,0.8356214722312927,0.8360697045736866,0.8362648109318216,0.8362842955053089,0.8346095872866027,0.8163493821972566,0.7862627617886748,0.7069026019145304,0.6125959902422785,0.5737746556810861,0.5088281613973781,0.3546099562561826,0.19022406640558864,0.06375201364807485,0.015367556351912504,0.6393091140438062,0.9011713030746705,0.9011713030746705,0.9011713030746705,0.9011713030746705,0.8998117548629994,0.8984522066513282,0.897406400334658,0.8951056264379836,0.8916544655929722,0.8778498222129262,0.8467893746078227,0.7771386739175905,0.6475632712821585,0.4961305166283204,0.349299309767831,0.21355364986404518,0.0876385693369588,0.022693997071742314,0.0018824513700062748,0.653034489591475,0.858951355661882,0.858951355661882,0.858951355661882,0.858951355661882,0.8576555023923444,0.856359649122807,0.8553628389154705,0.8531698564593302,0.8498803827751196,0.8367224880382775,0.8071172248803827,0.7407296650717703,0.6172248803827751,0.4728867623604466,0.33293460925039875,0.20354864433811803,0.08353269537480064,0.021630781499202553,0.0017942583732057417,0.6224397716779988,0.8488285384032188,0.8488285384032188,0.8488285384032188,0.8488285384032188,0.849686396904397,0.8502235616440762,0.8505420728333755,0.8507302098299884,0.8502845172350677,0.8402150389012603,0.823983521065633,0.7721209822914507,0.6926512953972991,0.6488513481827023,0.600717474427136,0.46108334916101207,0.2838700250823659,0.11005317100818444,0.02856285509122093,0.6794152617193709,0.9780762032139122,0.9780762032139122,0.9780762032139122,0.9780762032139122,0.9778171853714692,0.9776850191185107,0.9774756370877435,0.9761341499486674,0.9732609006386193,0.9605925311019349,0.9334756711759776,0.8732137969152738,0.7857532202422661,0.7393207963710281,0.690826884135826,0.5339586334216699,0.32561645736468425,0.1260952137605243,0.03180308804553844,0.7787017893450203,0.7133010389750211,0.7133010389750211,0.7133010389750211,0.7133010389750211,0.7140410291941516,0.7147141938105884,0.7151723035934096,0.7160351801735633,0.7171479187338597,0.7208879481998033,0.7279621919518733,0.7413930819869142,0.7646025323607419,0.791689715981849,0.8204708729593554,0.8493226282193187,0.8851259631629738,0.9216561605904531,0.9605015751325917,0.7691540764185016,0.8673713065211726,0.8673713065211726,0.8673713065211726,0.8673713065211726,0.8671228421219467,0.8666998736520923,0.8662963659769498,0.865195225488749,0.8626606317265249,0.84654129256965,0.8159650435726101,0.7411891463322655,0.6298370133737959,0.5335420474070379,0.4215843042222263,0.2751876640342681,0.12911609130253454,0.03803666666582505,0.005378538603403932,0.6438862091123458,8617.0,8617.0,8617.0,8617.0,8604.0,8591.0,8581.0,8559.0,8526.0,8394.0,8097.0,7431.0,6192.0,4744.0,3340.0,2042.0,838.0,217.0,18.0,6244.315789473684,945.0,945.0,945.0,945.0,958.0,971.0,981.0,1003.0,1036.0,1168.0,1465.0,2131.0,3370.0,4818.0,6222.0,7520.0,8724.0,9345.0,9544.0,3317.684210526316,1415.0,1415.0,1415.0,1415.0,1428.0,1441.0,1451.0,1473.0,1506.0,1638.0,1935.0,2601.0,3840.0,5288.0,6692.0,7990.0,9194.0,9815.0,10014.0,3787.684210526316,0.705396360594018,0.7209020737328048,0.7071742313323572,0.8781635641079272,0.8370215311004785,0.7884615384615384,0.15384615384615385,0.057692307692307696,0.4603027309280863,0.857099111973053,0.8506763787721123,0.7070455502069255,6053.414713134362,8397,1165,1635,17,41,8,3,43.0,1922,0.813208124936205,0.8331938924911106,0.794158692185008,7967,1595,2065,10032,9562,149,52
